,transitivity_mimat,transitivity_cmimat,transitivity_omat,global_efficiency_mimat,global_efficiency_cmimat,global_efficiency_omat,density_mimat,density_cmimat,density_omat,small_worldness_mimat,small_worldness_cmimat,small_worldness_omat
sub-10001  ,0.0338719374,0.0013732303,0.0289178262,0.0215652798,0.0001540108,0.0004932136,1.0243902439,1.0243902439,1.0243902439,0.0117122434,0.0000754810,0.0018742540
sub-10002  ,0.0461523977,0.0016995045,0.0392221501,0.0151775199,0.0000648265,0.0004039209,1.0243902439,1.0243902439,1.0243902439,0.0183263480,0.0000990242,0.0024616236
sub-10005  ,0.0160730177,0.0028365267,0.0074733715,0.0040335201,0.0004227530,-0.0000024657,1.0243902439,1.0243902439,1.0243902439,0.0019080862,0.0002053581,0.0003890871
sub-10006  ,0.1016512440,0.0017231246,0.0945781208,0.0572838152,0.0000674901,0.0096555477,1.0243902439,1.0243902439,1.0243902439,0.0364619435,0.0001042052,0.0081374096
sub-10007  ,0.0462323004,0.0017089175,0.0390804236,0.0099653775,0.0001323110,0.0005781844,1.0243902439,1.0243902439,1.0243902439,0.0165549814,0.0000954968,0.0024783339
sub-10008  ,0.0405389904,0.0013995786,0.0361876971,0.0269741119,0.0001049971,0.0053651661,1.0243902439,1.0243902439,1.0243902439,0.0198260197,0.0000767996,0.0030946843
sub-10009  ,0.0205339724,0.0018401209,0.0140198602,0.0041641731,0.0002488666,0.0000664459,1.0243902439,1.0243902439,1.0243902439,0.0045484257,0.0001049040,0.0007376599
sub-100010 ,0.0561645032,0.0013851400,0.0515267840,0.0752778156,0.0000339257,0.0109080266,1.0243902439,1.0243902439,1.0243902439,0.0305352719,0.0000753143,0.0054157845
sub-100011 ,0.0643190047,0.0013978054,0.0591845467,0.0576143324,0.0000330241,0.0046768438,1.0243902439,1.0243902439,1.0243902439,0.0352440994,0.0000732430,0.0063452112
sub-100014 ,0.0596680544,0.0017909736,0.0520175858,0.0169293525,0.0002293318,0.0006123960,1.0243902439,1.0243902439,1.0243902439,0.0218622665,0.0001169627,0.0032544070
sub-100015 ,0.0580099869,0.0012870037,0.0534115356,0.0624358473,0.0000185050,0.0040746103,1.0243902439,1.0243902439,1.0243902439,0.0267541580,0.0000716303,0.0059484614
sub-100016 ,0.0268230558,0.0015707016,0.0211730396,0.0092473782,-0.0000000403,0.0002899764,1.0243902439,1.0243902439,1.0243902439,0.0048111021,0.0000814315,0.0011884520
sub-100017 ,0.0282161773,0.0018565005,0.0209837942,0.0067908086,0.0001499242,-0.0000033366,1.0243902439,1.0243902439,1.0243902439,0.0068275392,0.0001075169,0.0011317233
sub-100018 ,0.0765175984,0.0038214514,0.0576207471,0.0241632159,0.0008016501,-0.0000135845,1.0243902439,1.0243902439,1.0243902439,0.0287238082,0.0003099259,0.0030660119
sub-100020 ,0.1751709145,0.0014171584,0.1691503563,0.1050195281,0.0000197811,0.0217045483,1.0243902439,1.0243902439,1.0243902439,0.0844585100,0.0000799943,0.0239131199
sub-100022 ,0.0342945633,0.0016845670,0.0275960304,0.0102290194,0.0000493793,0.0001222649,1.0243902439,1.0243902439,1.0243902439,0.0077379741,0.0001008890,0.0015891779
sub-100024 ,0.0651099096,0.0031164712,0.0520904228,0.0132521971,0.0003911133,-0.0000088517,1.0243902439,1.0243902439,1.0243902439,0.0199997493,0.0002106495,0.0029084985
